epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,14895.7,0.12672,0.21049,0.01637,0.9983,0.99833,0.99458,0.96638,0.0765,0.38348,0.01366,8.119e-05,8.119e-05,8.119e-05
40,15275.7,0.12583,0.20959,0.01614,0.99835,0.99822,0.99463,0.9635,0.07776,0.23287,0.01375,8.0695e-05,8.0695e-05,8.0695e-05
41,15655.8,0.12363,0.20819,0.01577,0.99832,0.99842,0.99458,0.96628,0.07555,0.22966,0.0133,8.02e-05,8.02e-05,8.02e-05
42,16035.9,0.1235,0.20729,0.01589,0.99856,0.99838,0.99467,0.96674,0.07543,0.21026,0.01343,7.9705e-05,7.9705e-05,7.9705e-05
43,16415.1,0.1207,0.20332,0.01564,0.99832,0.99826,0.99463,0.96809,0.07451,0.69176,0.01325,7.921e-05,7.921e-05,7.921e-05
44,16795.1,0.1227,0.20752,0.01568,0.99839,0.99849,0.99459,0.97049,0.07348,0.32674,0.01314,7.8715e-05,7.8715e-05,7.8715e-05
45,17175.7,0.11978,0.20538,0.01544,0.9984,0.99834,0.99461,0.96825,0.07469,0.25087,0.01309,7.822e-05,7.822e-05,7.822e-05
46,17555.6,0.11719,0.20215,0.01491,0.99857,0.99861,0.99464,0.97206,0.07156,0.19963,0.01265,7.7725e-05,7.7725e-05,7.7725e-05
47,17935.8,0.11427,0.19677,0.01461,0.99864,0.99845,0.99464,0.97358,0.06987,0.15533,0.0124,7.723e-05,7.723e-05,7.723e-05
48,18316.7,0.11366,0.19767,0.01459,0.99855,0.99864,0.99464,0.97474,0.06859,0.28028,0.01213,7.6735e-05,7.6735e-05,7.6735e-05
49,18697.3,0.11373,0.19646,0.01459,0.99859,0.99842,0.99462,0.9739,0.06872,0.17513,0.01229,7.624e-05,7.624e-05,7.624e-05
50,19078.1,0.11083,0.1932,0.01402,0.99869,0.99837,0.99461,0.97675,0.06654,0.15084,0.01177,7.5745e-05,7.5745e-05,7.5745e-05
51,19458.2,0.10964,0.19108,0.01395,0.99865,0.99849,0.99463,0.97658,0.06649,0.15652,0.01177,7.525e-05,7.525e-05,7.525e-05
52,19837.4,0.10841,0.18969,0.01383,0.99875,0.99849,0.99462,0.97654,0.06656,0.18052,0.01175,7.4755e-05,7.4755e-05,7.4755e-05
53,20218.4,0.10866,0.19074,0.01374,0.99883,0.99851,0.99465,0.97728,0.06561,0.1524,0.01158,7.426e-05,7.426e-05,7.426e-05
54,20598.6,0.11064,0.19277,0.01425,0.99875,0.9985,0.99464,0.97576,0.06779,0.15618,0.01206,7.3765e-05,7.3765e-05,7.3765e-05
