epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2870.75,0.4721,0.28637,0.8287,0.99662,0.9966,0.99441,0.96511,0.27823,0.20308,0.77045,0.007921,0.007921,0.007921
44,2937.27,0.46692,0.28557,0.82647,0.99754,0.99802,0.99437,0.96701,0.27669,0.19938,0.7705,0.0078715,0.0078715,0.0078715
45,3002.56,0.46496,0.2834,0.82699,0.9965,0.99627,0.99437,0.96744,0.27424,0.20003,0.76963,0.007822,0.007822,0.007822
46,3069.49,0.46092,0.28305,0.82434,0.99487,0.9957,0.99435,0.96846,0.27035,0.20119,0.76887,0.0077725,0.0077725,0.0077725
47,3136.41,0.46095,0.28176,0.8255,0.99324,0.98115,0.99428,0.96825,0.26948,0.20613,0.76835,0.007723,0.007723,0.007723
48,3202.37,0.45874,0.28156,0.82478,0.99522,0.99405,0.99432,0.96921,0.26661,0.20062,0.76765,0.0076735,0.0076735,0.0076735
49,3267.4,0.45683,0.27924,0.82495,0.99694,0.99708,0.99439,0.97037,0.2663,0.19742,0.76763,0.007624,0.007624,0.007624
50,3334.13,0.45216,0.27869,0.82409,0.99524,0.99366,0.99434,0.96991,0.26442,0.20925,0.76761,0.0075745,0.0075745,0.0075745
51,3400.73,0.45005,0.27616,0.82373,0.99316,0.98531,0.99433,0.97012,0.26199,0.19842,0.76703,0.007525,0.007525,0.007525
52,3466.21,0.44501,0.27262,0.82241,0.99683,0.99663,0.9944,0.97145,0.26314,0.19383,0.76767,0.0074755,0.0074755,0.0074755
53,3531.66,0.44498,0.27295,0.82172,0.99495,0.99474,0.99433,0.97223,0.25873,0.19336,0.7664,0.007426,0.007426,0.007426
54,3597.39,0.44543,0.27345,0.8223,0.99696,0.99673,0.99435,0.97192,0.25902,0.18963,0.76608,0.0073765,0.0073765,0.0073765
55,3663.38,0.43944,0.27026,0.82113,0.99738,0.99768,0.99436,0.97255,0.25557,0.18631,0.76553,0.007327,0.007327,0.007327
56,3729.12,0.4398,0.27219,0.82094,0.99816,0.99849,0.99438,0.9734,0.25371,0.18555,0.7659,0.0072775,0.0072775,0.0072775
57,3795.34,0.43652,0.26784,0.82083,0.99409,0.9939,0.99436,0.9747,0.24842,0.18809,0.76424,0.007228,0.007228,0.007228
58,3860.83,0.43448,0.26703,0.82029,0.99686,0.99699,0.9944,0.97468,0.25196,0.18557,0.76532,0.0071785,0.0071785,0.0071785
59,3926.69,0.4297,0.26564,0.81994,0.99787,0.99797,0.99444,0.97551,0.24707,0.18251,0.764,0.007129,0.007129,0.007129
60,3992.87,0.42778,0.2632,0.81855,0.99693,0.99651,0.99439,0.97584,0.24611,0.18426,0.76395,0.0070795,0.0070795,0.0070795
61,4059.36,0.42775,0.26389,0.8186,0.9968,0.99693,0.9944,0.97592,0.24523,0.18386,0.76384,0.00703,0.00703,0.00703
62,4125.52,0.42681,0.26309,0.8187,0.9939,0.99217,0.99441,0.97619,0.24286,0.18523,0.76324,0.0069805,0.0069805,0.0069805
63,4192.08,0.42535,0.26326,0.8182,0.99533,0.99511,0.99439,0.97666,0.2416,0.18233,0.76341,0.006931,0.006931,0.006931
64,4258.38,0.42195,0.25962,0.81796,0.99762,0.99766,0.99439,0.97678,0.24015,0.17905,0.76318,0.0068815,0.0068815,0.0068815
65,4323.87,0.41712,0.25634,0.81663,0.99741,0.99727,0.99438,0.9771,0.24063,0.17872,0.76308,0.006832,0.006832,0.006832
66,4389.1,0.41813,0.25935,0.81798,0.99745,0.99765,0.99439,0.97751,0.23834,0.17762,0.76262,0.0067825,0.0067825,0.0067825
67,4455.29,0.41709,0.2583,0.81681,0.99742,0.99777,0.99438,0.97766,0.23606,0.17823,0.76199,0.006733,0.006733,0.006733
68,4521.06,0.41371,0.25546,0.81573,0.9979,0.99813,0.99435,0.97834,0.234,0.17634,0.76159,0.0066835,0.0066835,0.0066835
69,4587.12,0.41286,0.25606,0.81574,0.998,0.99807,0.99439,0.97912,0.23268,0.17519,0.76174,0.006634,0.006634,0.006634
70,4653.09,0.41057,0.25397,0.81591,0.99807,0.99839,0.9944,0.97937,0.23086,0.1738,0.76166,0.0065845,0.0065845,0.0065845
71,4719.12,0.41186,0.25392,0.81649,0.99788,0.99802,0.99439,0.97932,0.23139,0.17288,0.76152,0.006535,0.006535,0.006535
72,4785.8,0.41101,0.25626,0.816,0.99811,0.99838,0.9944,0.97933,0.23078,0.17181,0.76132,0.0064855,0.0064855,0.0064855
73,4851.82,0.40882,0.25471,0.81501,0.9982,0.99843,0.99441,0.97976,0.22922,0.1711,0.76104,0.006436,0.006436,0.006436
74,4918.35,0.40482,0.25163,0.81452,0.99817,0.99842,0.9944,0.98016,0.22825,0.17146,0.76109,0.0063865,0.0063865,0.0063865
75,4983.31,0.40334,0.25173,0.81386,0.99788,0.99822,0.99441,0.98008,0.22809,0.17127,0.76109,0.006337,0.006337,0.006337
76,5049.3,0.40487,0.25269,0.81381,0.99708,0.99758,0.99442,0.97988,0.22805,0.17193,0.76121,0.0062875,0.0062875,0.0062875
77,5115.26,0.40112,0.24998,0.8134,0.99626,0.99666,0.99441,0.98049,0.22674,0.17226,0.76079,0.006238,0.006238,0.006238
78,5181.58,0.40052,0.25017,0.81428,0.99681,0.99591,0.9944,0.98067,0.22629,0.17146,0.76081,0.0061885,0.0061885,0.0061885
79,5246.54,0.39944,0.24897,0.81308,0.99698,0.99699,0.99441,0.98072,0.22558,0.17142,0.76058,0.006139,0.006139,0.006139
80,5312.32,0.39526,0.24627,0.81274,0.99694,0.99715,0.9944,0.98094,0.22403,0.17064,0.76026,0.0060895,0.0060895,0.0060895
81,5378.38,0.39792,0.24994,0.81253,0.99605,0.9968,0.99439,0.981,0.22448,0.17077,0.76054,0.00604,0.00604,0.00604
82,5443.79,0.39424,0.24585,0.81279,0.997,0.9971,0.99441,0.98129,0.22291,0.16999,0.76028,0.0059905,0.0059905,0.0059905
83,5510.37,0.39299,0.24437,0.8123,0.9972,0.99719,0.99441,0.9815,0.22266,0.16881,0.76011,0.005941,0.005941,0.005941
84,5576.53,0.38928,0.24369,0.81233,0.9971,0.997,0.9944,0.98178,0.22117,0.1682,0.76,0.0058915,0.0058915,0.0058915
85,5642.45,0.38915,0.24394,0.81179,0.99723,0.997,0.99441,0.98191,0.22033,0.1673,0.75985,0.005842,0.005842,0.005842
86,5707.53,0.38766,0.24308,0.81161,0.99737,0.99733,0.99442,0.98217,0.21924,0.16648,0.75967,0.0057925,0.0057925,0.0057925
87,5772.68,0.38501,0.24096,0.81056,0.99776,0.998,0.99442,0.98243,0.218,0.1652,0.75953,0.005743,0.005743,0.005743
88,5837.74,0.38493,0.24012,0.8101,0.99797,0.99833,0.99443,0.98279,0.21641,0.16456,0.75916,0.0056935,0.0056935,0.0056935
89,5903.41,0.38421,0.2407,0.81067,0.99792,0.99818,0.99443,0.98281,0.21589,0.16423,0.75916,0.005644,0.005644,0.005644
90,5969.89,0.38408,0.24235,0.81147,0.99801,0.99826,0.99443,0.98298,0.21545,0.16372,0.75915,0.0055945,0.0055945,0.0055945
91,6035.96,0.38317,0.2425,0.80994,0.99766,0.99784,0.99443,0.98308,0.21481,0.16381,0.75909,0.005545,0.005545,0.005545
92,6101.83,0.37936,0.23939,0.80996,0.99784,0.99804,0.99444,0.98316,0.21419,0.16337,0.75905,0.0054955,0.0054955,0.0054955
93,6167.77,0.38007,0.23861,0.80941,0.99794,0.99807,0.99443,0.98336,0.21294,0.16282,0.75883,0.005446,0.005446,0.005446
94,6233.89,0.37535,0.23629,0.80937,0.99796,0.99798,0.99443,0.98336,0.21276,0.16271,0.7589,0.0053965,0.0053965,0.0053965
95,6299.41,0.3763,0.2364,0.80827,0.99786,0.99795,0.99443,0.98346,0.21212,0.16257,0.75887,0.005347,0.005347,0.005347
96,6365.29,0.37606,0.23731,0.80925,0.99802,0.99808,0.99443,0.98355,0.21202,0.16231,0.75892,0.0052975,0.0052975,0.0052975
97,6431.67,0.37632,0.23802,0.80875,0.99804,0.99818,0.99444,0.98368,0.2114,0.16188,0.75883,0.005248,0.005248,0.005248
98,6498.32,0.37277,0.2357,0.80757,0.99808,0.9982,0.99444,0.98365,0.21119,0.16173,0.75885,0.0051985,0.0051985,0.0051985
99,6563.6,0.37054,0.23425,0.80867,0.998,0.99814,0.99443,0.98376,0.21085,0.16163,0.75885,0.005149,0.005149,0.005149
100,6629.46,0.36865,0.23379,0.80791,0.99809,0.99819,0.99443,0.98382,0.21005,0.1611,0.75874,0.0050995,0.0050995,0.0050995
101,6695.16,0.36659,0.23139,0.8073,0.99799,0.99819,0.99443,0.98404,0.20929,0.16082,0.75863,0.00505,0.00505,0.00505
102,6760.86,0.36473,0.23083,0.80708,0.99801,0.99818,0.99444,0.98405,0.20866,0.16053,0.75855,0.0050005,0.0050005,0.0050005
103,6826.99,0.3638,0.23067,0.80669,0.99803,0.99825,0.99444,0.98411,0.2082,0.16006,0.75848,0.004951,0.004951,0.004951
104,6893.4,0.36338,0.23068,0.80716,0.99805,0.99831,0.99444,0.98422,0.20775,0.15976,0.75841,0.0049015,0.0049015,0.0049015
105,6959.61,0.36333,0.23111,0.8067,0.99778,0.99818,0.99443,0.98435,0.20722,0.15964,0.75834,0.004852,0.004852,0.004852
106,7025.12,0.36135,0.22975,0.80577,0.99778,0.99823,0.99444,0.9845,0.20683,0.1595,0.75824,0.0048025,0.0048025,0.0048025
107,7090.47,0.36039,0.22851,0.80642,0.998,0.99828,0.99443,0.98453,0.20661,0.15928,0.75823,0.004753,0.004753,0.004753
108,7156.43,0.36084,0.22941,0.8061,0.99813,0.99834,0.99443,0.98458,0.20637,0.15905,0.75817,0.0047035,0.0047035,0.0047035
109,7221.88,0.35729,0.22709,0.80589,0.99814,0.99832,0.99443,0.98465,0.20597,0.15877,0.75811,0.004654,0.004654,0.004654
110,7288.01,0.35744,0.22822,0.8057,0.99814,0.99835,0.99444,0.98468,0.20572,0.15862,0.75806,0.0046045,0.0046045,0.0046045
111,7353.81,0.35504,0.22796,0.80591,0.99816,0.99842,0.99444,0.98474,0.2053,0.15835,0.758,0.004555,0.004555,0.004555
112,7419.74,0.35665,0.22741,0.80596,0.99817,0.99843,0.99444,0.98477,0.20498,0.15805,0.75794,0.0045055,0.0045055,0.0045055
113,7485.42,0.35395,0.22658,0.80518,0.99821,0.99844,0.99445,0.98482,0.20462,0.1578,0.75788,0.004456,0.004456,0.004456
114,7550.55,0.35105,0.22352,0.80455,0.99824,0.99843,0.99444,0.98485,0.20407,0.15762,0.75775,0.0044065,0.0044065,0.0044065
