epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,873.087,0.76441,0.45311,0.82805,0.92831,0.89006,0.93179,0.76985,0.58239,0.40168,0.80996,0.0095941,0.0095941,0.0095941
43,893.582,0.76333,0.45365,0.82809,0.92667,0.89313,0.93122,0.77545,0.57047,0.39543,0.80877,0.0095842,0.0095842,0.0095842
44,914.481,0.76543,0.45135,0.82763,0.92829,0.89429,0.93169,0.7765,0.5711,0.39561,0.8085,0.0095743,0.0095743,0.0095743
45,935.212,0.75864,0.45389,0.82688,0.92737,0.89581,0.93217,0.77982,0.55225,0.3937,0.80542,0.0095644,0.0095644,0.0095644
46,956.722,0.76804,0.45251,0.82707,0.93275,0.88999,0.93185,0.77796,0.55809,0.39049,0.80725,0.0095545,0.0095545,0.0095545
47,977.374,0.75616,0.44985,0.82736,0.92957,0.89495,0.93177,0.77797,0.55517,0.38864,0.80635,0.0095446,0.0095446,0.0095446
48,998.539,0.74998,0.44921,0.82608,0.92549,0.89252,0.9318,0.7689,0.58064,0.39539,0.80824,0.0095347,0.0095347,0.0095347
49,1019.08,0.74334,0.44283,0.8263,0.9272,0.89787,0.93295,0.78085,0.55557,0.38794,0.80669,0.0095248,0.0095248,0.0095248
50,1039.83,0.74148,0.44801,0.82502,0.93111,0.89524,0.93227,0.78296,0.54227,0.38486,0.80399,0.0095149,0.0095149,0.0095149
51,1060.4,0.7451,0.44678,0.82655,0.93195,0.89457,0.93253,0.78497,0.54043,0.38309,0.80438,0.009505,0.009505,0.009505
52,1081,0.74439,0.44036,0.82461,0.93038,0.89543,0.9313,0.78221,0.54415,0.38545,0.80508,0.0094951,0.0094951,0.0094951
53,1101.73,0.7412,0.44125,0.82437,0.93221,0.89603,0.93339,0.77666,0.56794,0.38969,0.80702,0.0094852,0.0094852,0.0094852
54,1122.74,0.73258,0.4375,0.82406,0.93019,0.89791,0.93402,0.78496,0.54309,0.38103,0.80503,0.0094753,0.0094753,0.0094753
55,1143.51,0.72912,0.43678,0.82284,0.93097,0.89712,0.93351,0.78543,0.54436,0.38136,0.80411,0.0094654,0.0094654,0.0094654
56,1163.92,0.72542,0.4335,0.82318,0.93542,0.89413,0.93448,0.78717,0.53691,0.37787,0.80445,0.0094555,0.0094555,0.0094555
57,1184.5,0.72516,0.43552,0.82346,0.9336,0.89759,0.93415,0.78116,0.56128,0.38371,0.80712,0.0094456,0.0094456,0.0094456
58,1205.76,0.73033,0.43335,0.82332,0.92888,0.89965,0.93404,0.79181,0.52732,0.3743,0.80221,0.0094357,0.0094357,0.0094357
59,1225.94,0.72555,0.43442,0.82217,0.92835,0.89636,0.93342,0.78627,0.5434,0.37954,0.80431,0.0094258,0.0094258,0.0094258
60,1246.52,0.73062,0.43113,0.82321,0.93334,0.89677,0.93429,0.78686,0.53833,0.37719,0.80384,0.0094159,0.0094159,0.0094159
61,1267.76,0.72178,0.43363,0.82175,0.92993,0.89842,0.93421,0.78453,0.54173,0.37775,0.80439,0.009406,0.009406,0.009406
62,1288.62,0.72087,0.42863,0.82209,0.93043,0.89856,0.93565,0.7859,0.54905,0.37977,0.8046,0.0093961,0.0093961,0.0093961
63,1309.34,0.71655,0.42932,0.82148,0.93672,0.89492,0.93459,0.79234,0.53044,0.3716,0.80374,0.0093862,0.0093862,0.0093862
64,1329.67,0.71585,0.42857,0.82129,0.93379,0.89511,0.9347,0.79327,0.52499,0.37144,0.80203,0.0093763,0.0093763,0.0093763
65,1350.31,0.72163,0.42892,0.822,0.93596,0.89613,0.93512,0.78762,0.54432,0.37555,0.80471,0.0093664,0.0093664,0.0093664
66,1370.62,0.7148,0.42877,0.82071,0.9375,0.89283,0.93471,0.7881,0.54084,0.37452,0.80419,0.0093565,0.0093565,0.0093565
67,1391.23,0.7125,0.42942,0.82111,0.93623,0.89578,0.9376,0.79454,0.52253,0.37151,0.8026,0.0093466,0.0093466,0.0093466
68,1411.58,0.70489,0.42491,0.8208,0.93199,0.89971,0.93678,0.79266,0.52513,0.37044,0.8025,0.0093367,0.0093367,0.0093367
69,1432.54,0.71156,0.4227,0.82114,0.9309,0.89968,0.93638,0.79365,0.52349,0.36926,0.80201,0.0093268,0.0093268,0.0093268
70,1453.7,0.71037,0.42103,0.82036,0.9361,0.89457,0.93536,0.79168,0.53155,0.37099,0.80316,0.0093169,0.0093169,0.0093169
71,1473.78,0.70374,0.42138,0.82013,0.93689,0.89791,0.93854,0.79587,0.52136,0.3676,0.80222,0.009307,0.009307,0.009307
