epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,4880.38,0.43687,0.28729,0.06786,0.94413,0.8576,0.90686,0.7801,0.30841,0.27716,0.04031,9.6238e-05,9.6238e-05,9.6238e-05
40,5005.85,0.44861,0.28843,0.0714,0.93977,0.85868,0.90718,0.77991,0.30748,0.27939,0.04093,9.6139e-05,9.6139e-05,9.6139e-05
41,5130.2,0.45099,0.2863,0.07178,0.94672,0.85649,0.90759,0.78241,0.31008,0.27642,0.04435,9.604e-05,9.604e-05,9.604e-05
42,5253.8,0.42368,0.28615,0.06416,0.94445,0.86154,0.90864,0.78496,0.30445,0.27421,0.04229,9.5941e-05,9.5941e-05,9.5941e-05
43,5377.34,0.43605,0.28518,0.07084,0.94498,0.84821,0.90054,0.78135,0.31352,0.27139,0.04111,9.5842e-05,9.5842e-05,9.5842e-05
44,5502.81,0.43406,0.28397,0.06576,0.94497,0.85849,0.90727,0.78523,0.30574,0.27108,0.04287,9.5743e-05,9.5743e-05,9.5743e-05
45,5627.62,0.42888,0.2853,0.06744,0.9446,0.86578,0.91096,0.78751,0.29617,0.2751,0.03962,9.5644e-05,9.5644e-05,9.5644e-05
46,5753.36,0.42571,0.28439,0.06334,0.94703,0.86137,0.91055,0.79141,0.29526,0.2712,0.03696,9.5545e-05,9.5545e-05,9.5545e-05
47,5877.62,0.43534,0.28355,0.07096,0.94635,0.86317,0.91045,0.79034,0.29377,0.27506,0.03729,9.5446e-05,9.5446e-05,9.5446e-05
48,6001.92,0.42475,0.28361,0.06689,0.94116,0.86294,0.90815,0.78937,0.29729,0.27438,0.04004,9.5347e-05,9.5347e-05,9.5347e-05
49,6121.41,0.42431,0.28266,0.06569,0.9469,0.86183,0.91011,0.79197,0.29507,0.27077,0.04069,9.5248e-05,9.5248e-05,9.5248e-05
50,6243.71,0.41447,0.28412,0.06356,0.94788,0.85887,0.90886,0.79038,0.29842,0.26966,0.04234,9.5149e-05,9.5149e-05,9.5149e-05
51,6368.46,0.40907,0.28055,0.0611,0.94979,0.85843,0.9081,0.79079,0.29825,0.26898,0.04147,9.505e-05,9.505e-05,9.505e-05
52,6492.58,0.41278,0.28116,0.06201,0.94301,0.86441,0.90995,0.7919,0.29202,0.27258,0.03898,9.4951e-05,9.4951e-05,9.4951e-05
53,6617,0.41139,0.2824,0.06244,0.94593,0.86559,0.91173,0.79531,0.28858,0.26886,0.03907,9.4852e-05,9.4852e-05,9.4852e-05
